UF,SP
Cidade,MIRACATU
Nome Posto,PEDRA DO LARGO
Latitude,-24.15
Longitude,-47.28333333333333
Codigo,2447008
Qtd. Anos,44
Ano,Maxima
1956,131.6
1957,110
1965,201.1
1966,150.3
1967,99.7
1968,94.4
1969,144
1970,102.5
1971,77.8
1972,78
1973,101.8
1974,97.1
1975,82.5
1976,170.7
1977,61.4
1978,62.2
1979,100.5
1980,68.7
1981,92
1982,61
1983,81.5
1984,119
1985,101.1
1986,95.5
1987,70.1
1988,108.5
1989,77.1
1990,82.2
1991,64.7
1992,52.7
1993,82.5
1994,62.2
1995,81.8
1996,52.9
1997,55.5
1998,45
2007,29.4
2008,85
2009,81.5
2010,70
2011,72.8
2012,48
2013,73.3
2014,87.8
