UF,SP
Cidade,GAVIAO PEIXOTO
Nome Posto,GAVIAO PEIXOTO
Latitude,-21.836666666666666
Longitude,-48.49527777777778
Codigo,2148167
Qtd. Anos,42
Ano,Maxima
1978,8
1979,55.8
1980,77.6
1981,64.6
1982,92.2
1983,78
1984,95
1985,111.6
1986,92.2
1987,45.6
1988,51.8
1989,84.4
1990,44.2
1991,65.6
1992,70.8
1993,87.2
1994,54
1995,94
1996,97.2
1997,65.2
1998,44.4
1999,123.6
2000,79.7
2001,70.9
2002,128.6
2003,128.4
2004,83.2
2005,58.4
2006,67.6
2007,81.3
2008,57.9
2009,101.9
2010,92.2
2011,93.5
2012,99.9
2013,72.2
2014,70
2015,28.1
2016,47.5
2017,46.9
2018,43.5
2019,39.1
