UF,SP
Cidade,POPULINA
Nome Posto,POPULINA
Latitude,-19.933333333333334
Longitude,-50.53333333333333
Codigo,1950003
Qtd. Anos,41
Ano,Maxima
1959,41.6
1960,40.3
1961,56.5
1962,68.8
1963,75.8
1965,72
1966,79.2
1967,122.2
1968,54
1969,81.5
1970,53.7
1971,70.2
1972,70.2
1973,65.5
1974,71.7
1975,77.2
1976,96.1
1977,105.6
1978,87.3
1979,162.2
1980,119.6
1981,76.8
1982,91.9
1983,87.2
1984,65.1
1985,51.3
1986,48.6
1987,64.5
1988,80.2
1989,69.2
1990,53.1
1991,89.7
1992,75.2
1993,61.1
1994,56.7
1995,56.8
1996,74.2
1997,81.2
1998,62.1
1999,67.4
2000,72.4
