UF,SP
Cidade,TANABI
Nome Posto,TANABI
Latitude,-20.616666666666667
Longitude,-49.65
Codigo,2049016
Qtd. Anos,45
Ano,Maxima
1956,74.2
1957,60.8
1958,146
1959,62
1960,64
1961,63.8
1962,62
1963,60.5
1964,96.5
1965,86.1
1966,179.5
1967,88.4
1968,82.8
1969,83.3
1970,63.1
1971,126.5
1972,70.5
1973,53.4
1974,75.2
1975,89.1
1976,74.3
1977,140.6
1978,100.5
1979,77.5
1980,74.1
1981,63.8
1982,82.9
1983,64.4
1984,63.4
1985,59.8
1986,94.3
1987,95.4
1988,79.7
1989,66.1
1990,57.7
1991,68.1
1992,57.2
1993,59.4
1994,65.3
1995,73.4
1996,77.3
1997,91.6
1998,75.7
1999,83
2000,76.5
