UF,SP
Cidade,ILHABELA
Nome Posto,ILHABELA
Latitude,-23.783333333333335
Longitude,-45.35
Codigo,2345058
Qtd. Anos,72
Ano,Maxima
1943,91
1944,98.5
1945,85.7
1946,197.2
1947,76.5
1948,70.6
1949,92.3
1950,106.3
1951,114.2
1952,223.6
1953,73
1954,64.1
1955,115.1
1956,63.5
1957,57.6
1958,394.5
1959,162.2
1960,94.6
1961,221.1
1962,231.1
1963,156
1964,59.9
1965,102.8
1966,76
1967,99.4
1968,190.8
1969,182.8
1970,92.7
1971,204.8
1972,66.6
1973,104.2
1974,143.4
1975,105.5
1976,116.1
1977,68.1
1978,164.2
1979,112.7
1980,112.1
1981,231.9
1982,48.2
1983,84.1
1984,88.6
1985,151.4
1986,84.7
1987,98.2
1988,73.7
1989,160.3
1990,45.7
1991,56.5
1992,83.7
1993,100.3
1994,103.3
1995,217.3
1996,164.3
1997,37.2
1998,50.7
1999,62.6
2000,131
2001,132
2002,66.9
2003,174
2004,89
2005,247.2
2006,85.7
2007,122.1
2008,74
2009,117.7
2010,89.4
2011,115.8
2012,59.5
2013,110
2014,172
