UF,SP
Cidade,DOLCINOPOLIS
Nome Posto,DOLCINOPOLIS
Latitude,-20.116666666666667
Longitude,-50.5
Codigo,2050003
Qtd. Anos,45
Ano,Maxima
1970,38
1971,42.1
1972,40.4
1973,65.7
1974,113.5
1975,62.4
1976,81.2
1977,106.8
1978,114.9
1979,64.2
1980,141.9
1981,94.3
1982,55.1
1983,125.2
1984,74.8
1985,66.3
1986,85
1987,62.8
1988,61.2
1989,82.1
1990,73.5
1991,87.1
1992,59.6
1993,110
1994,63.2
1995,88.5
1996,63.3
1997,114
1998,71.5
1999,48
2000,97
2001,88.5
2002,62.9
2003,86
2004,61
2005,112.5
2006,133.2
2007,116.7
2008,105
2009,113.5
2010,60.7
2011,94.4
2012,62.9
2013,41.7
2014,74.3
