UF,SP
Cidade,PRESIDENTE PRUDENTE
Nome Posto,PRESIDENTE PRUDENTE
Latitude,-22.116666666666667
Longitude,-51.38333333333333
Codigo,2251029
Qtd. Anos,56
Ano,Maxima
1940,45.5
1941,63.4
1942,78
1943,35.7
1944,43.3
1945,45
1946,77.5
1947,70
1948,112
1949,40
1950,84
1951,85
1952,70
1953,135
1954,150
1955,42
1956,70
1957,75
1961,92
1962,70
1963,100
1964,72
1965,60
1966,79
1967,130
1968,174.3
1969,77
1970,104
1971,63.4
1972,127.5
1973,78.7
1974,131.6
1975,78.5
1976,68.4
1977,85
1978,89.1
1979,52.9
1980,174.4
1981,76.6
1982,71.4
1983,55.7
1984,92.4
1985,23.9
1986,67.2
1987,110.5
1988,136.8
1989,82
1990,94.9
1991,58.5
1992,70.3
1993,106.2
1994,119.1
1995,76.1
1996,102.6
1997,69.9
1998,100.8
