UF,SP
Cidade,INDIANA
Nome Posto,INDIANA
Latitude,-22.15
Longitude,-51.25
Codigo,2251009
Qtd. Anos,65
Ano,Maxima
1950,56.3
1951,72.8
1952,87.9
1953,49
1954,126.5
1955,60.5
1956,72.2
1957,68
1958,72
1959,55.6
1960,118.7
1961,85
1962,64
1963,74.6
1964,67.8
1965,94
1966,118.7
1967,122.2
1968,77.2
1969,81.5
1970,132
1971,84.8
1972,95
1973,79.6
1974,66.4
1975,111.5
1976,74.9
1977,69
1978,80.5
1979,80.1
1980,210.2
1981,81
1982,84.8
1983,58.6
1984,105.6
1985,96.3
1986,65.9
1987,158.8
1988,74.5
1989,88.5
1990,96.1
1991,68.4
1992,93.8
1993,63
1994,63.8
1995,67.3
1996,101.5
1997,83.7
1998,105.9
1999,86.8
2000,113.3
2001,73.4
2002,81.5
2003,72.7
2004,44.1
2005,93.4
2006,81.4
2007,69.8
2008,89
2009,137.7
2010,78.2
2011,72.5
2012,116.5
2013,75.7
2014,53.7
