UF,SP
Cidade,ITAJOBI
Nome Posto,ITAJOBI
Latitude,-21.316666666666666
Longitude,-49.05
Codigo,2149008
Qtd. Anos,75
Ano,Maxima
1940,50
1941,66.7
1942,61.6
1943,98.5
1944,81.9
1945,73.6
1946,67.8
1947,93.4
1948,88.7
1949,60.5
1950,142.5
1951,58.6
1952,80.4
1953,92.5
1954,75.7
1955,74.8
1956,137.8
1957,69.5
1958,70.8
1959,82.5
1960,49.6
1961,72
1962,69.7
1963,54.7
1964,96.8
1965,79.4
1966,77.5
1967,79.7
1968,49.7
1969,57.8
1970,56.5
1971,75.3
1972,65.3
1973,99.9
1974,66.5
1975,72.8
1976,76.5
1977,101.2
1978,99.4
1979,123.9
1980,75.6
1981,92.2
1982,75.5
1983,132.2
1984,70.3
1985,65.8
1986,92.7
1987,96.8
1988,79.7
1989,126.3
1990,77.2
1991,45.8
1992,72
1993,70.1
1994,82.1
1995,78
1996,80.7
1997,75
1998,85.1
1999,92
2000,134.5
2001,73.9
2002,82.4
2003,97
2004,106.5
2005,74
2006,100
2007,134
2008,61.8
2009,86.2
2010,86.6
2011,63.1
2012,71
2013,91
2014,112
