UF,SP
Cidade,MOCOCA
Nome Posto,PONTE DO CANOAS
Latitude,-21.42027777777778
Longitude,-46.96277777777778
Codigo,2146001
Qtd. Anos,54
Ano,Maxima
1966,75.8
1967,72.4
1968,62.4
1969,80
1970,84.4
1971,80.6
1972,86.2
1973,39
1974,26.8
1976,66
1977,73.2
1978,52.6
1979,65.8
1980,77
1981,56.4
1982,77.2
1983,98.7
1984,63.5
1985,58.3
1986,102.5
1987,74.1
1988,80.7
1989,777.7
1990,38.2
1991,64.6
1992,92.5
1993,35.8
1994,81.9
1995,96.5
1996,97
1997,57.9
1998,69.4
1999,117.3
2000,100
2001,76.1
2002,72.1
2003,87.7
2004,92
2005,54.8
2006,90.2
2007,78.9
2008,70.7
2009,96.4
2010,165
2011,138
2012,85.7
2013,94.8
2014,55.2
2015,57.3
2016,36
2017,64.3
2018,95.5
2019,113
2020,48.5
