UF,SP
Cidade,TATUI
Nome Posto,QUADRA
Latitude,-23.3
Longitude,-48.05
Codigo,2348012
Qtd. Anos,60
Ano,Maxima
1939,51.2
1940,61.7
1944,52.9
1945,72.6
1946,35.5
1947,34.3
1948,40.1
1949,70.5
1950,59.3
1951,60.3
1952,78.2
1953,61.6
1954,62.9
1955,68.6
1956,81.3
1957,58.2
1958,87.3
1959,55
1960,75.1
1961,55.2
1962,80.1
1963,43.2
1964,90.1
1965,73.2
1966,80.4
1967,65.2
1968,91.3
1969,50.1
1970,255.5
1971,308
1972,87.3
1973,62.4
1974,92.3
1975,86.9
1976,69.5
1977,61.8
1978,95.6
1979,95.2
1980,80.5
1981,120.1
1982,104.4
1983,78.9
1984,56.1
1985,114.7
1986,123.6
1987,81.6
1988,60.4
1989,57.9
1990,84.3
1991,73
1992,59.1
1993,78.2
1994,88.9
1995,80.1
1996,51.3
1997,89
1998,51.2
1999,53.5
2000,66.7
2001,73
