UF,SP
Cidade,GUARANTA
Nome Posto,FAZENDA SAO BENEDITO
Latitude,-21.916666666666668
Longitude,-49.65
Codigo,2149043
Qtd. Anos,43
Ano,Maxima
1958,28.8
1959,83.5
1960,93.1
1961,50.7
1962,73.2
1963,69.5
1964,56.2
1965,73
1966,87
1967,95
1968,47
1969,111.1
1970,55.5
1971,82.6
1972,69.5
1973,49.2
1974,85.3
1975,75
1976,79.6
1977,107.8
1978,44.4
1979,64.9
1980,55.6
1981,52.9
1982,62.4
1983,96.5
1984,57.9
1985,94.6
1986,70
1987,93.1
1988,96.4
1989,106.2
1990,63.9
1991,57.3
1992,100.1
1993,61.5
1994,84.6
1995,60.8
1996,86.2
1997,70
1998,96.2
1999,58.9
2000,57.6
