UF,SP
Cidade,SANTO ANTONIO DO PINHAL
Nome Posto,RIO PRETO
Latitude,-22.816666666666666
Longitude,-45.733333333333334
Codigo,2245103
Qtd. Anos,55
Ano,Maxima
1943,42.7
1944,74.2
1945,59.3
1946,52.7
1947,58.6
1948,60.9
1949,75.1
1950,90.8
1951,86.4
1952,60.7
1953,50.1
1954,50.9
1955,58.3
1956,70.7
1957,96.3
1958,63.5
1959,55.2
1960,90.4
1961,83.8
1962,81.2
1963,78.6
1964,58.4
1965,57.4
1966,100.4
1967,90.2
1968,44.9
1969,69.3
1970,60
1971,62.5
1972,67.3
1973,54.3
1974,58.8
1975,77.2
1976,58.1
1977,60.8
1978,85.6
1979,92
1980,74.5
1981,45.9
1982,117.8
1983,93.2
1984,38.4
1985,81.5
1986,65.4
1987,68.3
1988,62.3
1989,88.4
1990,68.9
1991,76.1
1992,63.4
1993,58.8
1994,80.2
1995,42.9
1996,67.3
1997,55.5
