UF,SP
Cidade,TAGUAI
Nome Posto,TAGUAI (RIBEIROPOLIS)
Latitude,-23.45
Longitude,-49.416666666666664
Codigo,2349016
Qtd. Anos,73
Ano,Maxima
1939,48.3
1940,50.5
1942,70.5
1944,59
1945,61
1946,42
1947,58
1948,52.1
1949,47.8
1950,60.8
1951,55.6
1952,47.2
1953,80.1
1954,59.7
1955,59.1
1956,142.4
1957,76.4
1958,60.3
1959,93
1960,53.2
1961,104
1962,68.4
1963,67
1964,72.4
1965,99.2
1966,80.7
1967,68.2
1968,81.3
1969,51
1970,82
1971,40.7
1972,75.2
1973,100
1974,84.5
1975,70.3
1976,99
1977,73
1978,76.5
1979,75
1980,109.2
1981,102.1
1982,87.3
1983,112.4
1984,60.9
1985,52.3
1986,52.1
1987,89.6
1988,69.4
1989,91.8
1990,73.2
1991,98.1
1992,121.3
1993,75.1
1994,132.1
1995,68.2
1996,54.4
1997,142.1
1998,82.9
1999,78.3
2000,79.9
2001,70.9
2002,75.8
2003,89
2004,145
2005,114.6
2006,101.8
2007,60.5
2008,170
2009,163
2010,100
2011,110
2012,190
2013,120
