UF,SP
Cidade,BEBEDOURO
Nome Posto,BOTAFOGO (CPEF)
Latitude,-20.999722222222225
Longitude,-48.55
Codigo,2048034
Qtd. Anos,71
Ano,Maxima
1943,96.2
1944,55.3
1945,79.2
1946,74.3
1947,120.7
1948,52
1949,55.2
1950,93.6
1951,58.9
1952,153.1
1953,82.7
1954,84.6
1955,46.5
1956,69.8
1957,67.7
1958,77.2
1959,105.2
1960,89.1
1961,255.7
1962,93.2
1963,101.9
1964,89.6
1965,66.4
1966,100.6
1967,58.8
1968,85.6
1969,50.2
1970,65.1
1971,67.3
1972,113.8
1973,73.6
1974,100.8
1975,74.3
1976,68.8
1977,69.9
1978,102.6
1979,173.2
1980,89.5
1981,90.1
1982,91.2
1983,109.3
1984,56.4
1985,78.1
1986,70
1987,72.2
1988,64.3
1989,56.7
1990,68.5
1991,75.1
1992,137.2
1993,72.9
1994,61
1995,88.8
1996,54
1997,100.6
1998,96.7
1999,47.4
2000,60.7
2001,56.3
2002,80.4
2003,98.5
2004,97.2
2005,90.2
2006,87.8
2007,116.5
2009,360
2010,73.1
2011,61.5
2012,64.4
2013,78
2014,62.4
