UF,SP
Cidade,MIRANDOPOLIS
Nome Posto,SEGUNDA ALIANCA
Latitude,-20.933333333333334
Longitude,-51.11666666666667
Codigo,2051032
Qtd. Anos,57
Ano,Maxima
1958,40.1
1959,111.8
1960,83.4
1961,50
1962,40.5
1963,64
1964,60.3
1965,61.3
1966,92.5
1967,52
1968,101
1969,48.5
1970,85.8
1971,75
1972,148
1973,107.2
1974,62.5
1975,76.4
1976,76.3
1977,111.7
1978,71.2
1979,71.4
1980,64.1
1981,67.4
1982,69.5
1983,64.6
1984,40.9
1985,65.8
1986,52.1
1987,52.6
1988,71.7
1989,54.8
1990,81
1991,75
1992,73.5
1993,61.3
1994,81
1995,96.5
1996,71.2
1997,87.5
1998,88.6
1999,68.5
2000,62.6
2001,85.7
2002,61.5
2003,69.9
2004,72.2
2005,70
2006,84
2007,74.5
2008,91
2009,58.5
2010,86.1
2011,85.5
2012,75.8
2013,95.5
2014,39.3
