UF,SP
Cidade,MAIRINQUE
Nome Posto,MAIRINQUE
Latitude,-23.55
Longitude,-47.18333333333333
Codigo,2347038
Qtd. Anos,59
Ano,Maxima
1940,69.6
1941,47.5
1942,53.4
1943,4.2
1944,3
1945,17
1946,68
1947,104.6
1948,114.1
1949,127.6
1950,88
1951,90
1966,64.5
1967,56.4
1968,77.8
1969,86.8
1970,81.7
1971,54.5
1972,107.8
1973,50.2
1974,72.3
1975,55.1
1976,67.8
1977,64.1
1978,99.6
1979,67.9
1980,57.6
1981,117.8
1982,58.3
1983,152.5
1984,76.6
1985,99
1986,76.2
1987,127.7
1988,95
1989,92
1990,43.2
1991,82
1992,95
1993,60
1994,127.8
1995,70.3
1996,51.3
1997,82
1998,85
1999,70
2000,81.5
2001,90
2002,107
2003,90.7
2004,88
2005,120
2006,69.1
2007,85.7
2008,113.3
2009,90
2010,97
2011,65
2012,74
