UF,SP
Cidade,BAURU
Nome Posto,BAURU (PDV)
Latitude,-22.316666666666666
Longitude,-49.03333333333333
Codigo,2249012
Qtd. Anos,61
Ano,Maxima
1939,52.9
1940,81.2
1941,111.6
1942,85.9
1943,83.7
1944,55.2
1945,63.5
1946,72.3
1947,80.6
1948,66.7
1949,72.9
1950,80.3
1951,54.2
1952,81.6
1953,86
1954,83.2
1955,49.5
1956,55.6
1957,85.7
1958,69
1959,78.3
1960,78.6
1961,119.5
1962,63.5
1963,67.4
1964,86
1965,83
1966,112.2
1967,55.4
1968,98.2
1969,82.4
1970,134.2
1971,54.4
1972,103
1973,97
1974,93.8
1975,136.4
1976,109.2
1977,127.1
1978,75.9
1979,85.3
1980,84.8
1981,72.8
1982,62
1983,141.4
1984,54.6
1985,83.1
1986,55.9
1987,95.8
1988,47.8
1989,83
1990,49.6
1991,71.6
1992,93.7
1993,71.1
1994,65.7
1995,90
1996,97.2
1997,76
1998,71.9
1999,78.6
