UF,SP
Cidade,MONTE CASTELO
Nome Posto,MONTE CASTELO
Latitude,-21.3
Longitude,-51.56666666666667
Codigo,2151006
Qtd. Anos,62
Ano,Maxima
1957,41.3
1958,106.5
1959,100.8
1960,72.5
1961,70.8
1962,50.5
1963,90.9
1964,62.5
1965,64.1
1966,117
1967,51.2
1968,55.5
1969,112
1970,102
1971,80.5
1972,73.3
1973,92
1974,89
1975,86.6
1976,91.3
1977,115.5
1978,87.5
1979,78.5
1980,62.9
1981,56.1
1982,68.9
1983,86.4
1984,106.5
1985,69.3
1986,68.5
1987,55.3
1988,81.7
1989,111.8
1990,82.2
1991,117.8
1992,59.4
1993,88.9
1994,66.2
1995,58.7
1996,75.7
1997,85.6
1998,129
1999,69.8
2000,46.2
2001,134.3
2002,59.6
2003,72.9
2004,94.7
2005,95.2
2006,82.6
2007,49.5
2008,57.7
2009,124.4
2010,141.7
2011,107.3
2012,113.4
2013,99.9
2014,47.8
2015,71.2
2016,48.4
2017,140.5
2018,66.1
