UF,SP
Cidade,SANTO ANASTACIO
Nome Posto,SANTO ANASTACIO
Latitude,-21.966666666666665
Longitude,-51.65
Codigo,2151059
Qtd. Anos,72
Ano,Maxima
1942,79
1943,73.5
1944,83.3
1945,67
1946,66.8
1947,83.3
1948,69
1950,64.5
1951,79
1952,80.2
1953,88.6
1954,155.3
1955,47.4
1956,94.9
1957,55.4
1958,99.6
1959,86.7
1960,104.5
1961,96.4
1962,54.1
1963,58.5
1964,164
1965,59.5
1966,79.6
1967,97.3
1968,72.5
1969,74.6
1970,70.7
1971,111.3
1972,85.5
1973,67.4
1974,173.5
1975,104.6
1976,75.6
1977,93.7
1978,73.2
1979,66.3
1980,176
1981,96.7
1982,51.5
1983,80.7
1984,63.9
1985,60
1986,67
1987,97.8
1988,92.8
1989,102.5
1990,52.3
1991,58.3
1992,72.7
1993,74.8
1994,57.2
1995,66
1996,64.7
1997,72.8
1998,71.5
1999,92.5
2000,83.8
2001,55
2002,80
2003,145
2004,52.6
2005,99.7
2006,130.4
2007,72.9
2008,64
2009,123
2010,83.3
2011,87.2
2012,75.4
2013,195
2014,71.8
