UF,SP
Cidade,SANTA CRUZ DA CONCEICAO
Nome Posto,SITIO SAO GERALDO
Latitude,-22.116666666666667
Longitude,-47.416666666666664
Codigo,2247003
Qtd. Anos,65
Ano,Maxima
1936,87.3
1937,63.2
1938,74.8
1939,119.2
1940,106.6
1941,71.3
1942,57.3
1943,61
1944,80
1945,75
1946,120
1947,86
1948,94
1949,58
1950,73
1951,85.5
1952,63
1953,63.6
1954,50.8
1955,58
1956,50.2
1957,59.1
1958,88.7
1959,75.2
1960,61.2
1961,57.1
1962,102.2
1963,95.2
1964,71.5
1965,82
1966,111.5
1967,89.5
1968,85.5
1969,48.7
1970,302.5
1971,305
1972,82.3
1973,85.1
1974,61.2
1975,86.4
1976,68.8
1977,68.6
1978,66.7
1979,53.4
1980,102
1981,86.6
1982,51
1983,111.9
1984,61.9
1985,72.1
1986,65.2
1987,70.2
1988,53.7
1989,64.7
1990,74.2
1991,84.6
1992,65.7
1993,78.5
1994,76.5
1995,112.3
1996,72.7
1997,65.9
1998,57.1
1999,46
2000,45
