UF,SP
Cidade,IBIRAREMA
Nome Posto,IBIRAREMA
Latitude,-22.816666666666666
Longitude,-50.06666666666667
Codigo,2250020
Qtd. Anos,60
Ano,Maxima
1937,61.6
1938,45.4
1939,83.9
1941,45.6
1942,110.1
1943,101
1944,60
1945,82.5
1946,14
1947,7.4
1949,67.7
1950,53
1953,56.1
1954,68.3
1955,98.6
1956,71
1957,120.9
1958,78
1959,79.3
1960,77
1961,86.4
1962,65.5
1963,82.4
1964,69
1965,120.4
1966,97
1967,57.5
1968,90.7
1969,80.3
1970,87
1971,68.4
1972,87.3
1973,90.4
1974,109.3
1975,68.7
1976,122.3
1977,76.5
1978,93.8
1979,115.5
1980,58.7
1981,128.7
1982,53.2
1983,66.5
1984,74.8
1985,98
1986,98.2
1987,66.7
1988,85.5
1989,82.6
1990,69.1
1991,77.5
1992,77.8
1993,46.5
1994,81.4
1995,76
1996,72.2
1997,110
1998,69.8
1999,65
2000,118.5
