UF,SP
Cidade,ITAPORANGA
Nome Posto,ITAPORANGA
Latitude,-23.70777777777778
Longitude,-49.47638888888889
Codigo,2349020
Qtd. Anos,69
Ano,Maxima
1951,73.6
1952,61.2
1953,74.6
1954,102.9
1955,60.2
1956,112
1957,61.9
1958,54.6
1959,72.4
1960,80.8
1961,61.6
1962,52.6
1963,53
1964,56
1965,72
1966,54.2
1967,52.4
1968,65.3
1969,69.8
1970,77
1971,100
1972,82
1973,56
1974,90
1975,89.6
1976,76
1977,65
1978,75
1979,60
1980,108
1981,67.4
1982,85.5
1983,107.6
1984,133.5
1985,70.5
1986,51.4
1987,98.5
1988,56.4
1989,113.1
1990,73.1
1991,71.5
1992,67.5
1993,87.9
1994,118.2
1995,78.9
1996,68.1
1997,87.2
1998,56
1999,45.2
2000,46.7
2001,46.2
2002,55.1
2003,59
2004,66.5
2005,96.3
2006,56.5
2007,68.7
2008,57.3
2009,54.5
2010,83.2
2011,70.2
2012,90.2
2013,78.5
2014,83.4
2015,90.3
2016,100.8
2017,63.2
2018,46.2
2019,62.7
