UF,SP
Cidade,ARARAQUARA
Nome Posto,USINA CHIBARRO (CPFL)
Latitude,-21.883333333333333
Longitude,-48.15
Codigo,2148061
Qtd. Anos,85
Ano,Maxima
1931,54.1
1932,59.3
1936,55.4
1937,47.5
1938,63.2
1939,110.8
1940,66.6
1941,78
1942,62
1943,66
1944,54.8
1945,61
1946,65
1947,62
1948,61
1949,56
1950,79.5
1951,79
1952,52.8
1953,102.6
1954,62.2
1955,72
1956,77.5
1957,85.5
1958,94.5
1959,110.9
1960,79.7
1961,48.3
1962,79.2
1963,83.5
1964,68.2
1965,108
1966,68
1967,68.5
1968,56
1969,75.4
1970,138.7
1971,49.5
1972,81
1973,65.1
1974,86.2
1975,72.4
1976,106.7
1977,70.5
1978,72.7
1979,62
1980,91.4
1981,63.4
1982,65.8
1983,94.7
1984,57.6
1985,51.8
1986,99.9
1987,86.2
1988,74.1
1989,117.2
1990,57.7
1991,106
1992,72.5
1993,86
1994,86.3
1995,86.9
1996,85
1997,61
1998,81
1999,84.7
2000,90.3
2001,63
2002,108.9
2003,68.4
2004,65.5
2005,65.6
2006,55.6
2007,49.3
2008,82.5
2009,75.7
2010,77
2011,96.7
2012,80.7
2013,96.6
2014,88
2015,61
2016,103
2017,135.5
2018,75
