UF,SP
Cidade,MINEIROS DO TIETE
Nome Posto,MINEIROS DO TIETE (CPEF)
Latitude,-22.416666666666668
Longitude,-48.45
Codigo,2248079
Qtd. Anos,45
Ano,Maxima
1937,83
1938,89.5
1939,72
1940,85
1941,83
1942,75
1943,73
1944,75
1945,75
1946,73
1947,75.5
1948,129
1949,78
1950,68.1
1951,75
1952,68
1953,72
1954,81.7
1955,112.7
1956,110.3
1957,88.5
1958,101.7
1959,52
1960,190.7
1961,60.2
1962,42.7
1963,90
1964,92.5
1965,78.2
1966,57.6
1985,95
1986,72.8
1987,109.7
1988,101.5
1989,105.8
1990,97.2
1991,56.5
1992,54.5
1993,45.1
1994,77
1995,56.6
1996,70
1997,52.4
1998,65.1
1999,105.3
