UF,SP
Cidade,PIRAJUI
Nome Posto,SAO FRANCISCO DA CORREDEIRA
Latitude,-22.05
Longitude,-49.61666666666667
Codigo,2249005
Qtd. Anos,77
Ano,Maxima
1942,77.1
1943,48
1944,78
1945,80.5
1946,68
1947,99
1948,76
1949,63.5
1950,79.5
1951,42.9
1952,74
1953,121.5
1954,87
1955,102.5
1956,92
1957,119.2
1958,47.3
1959,65
1960,114
1961,112
1962,97
1963,63
1964,95
1965,81
1966,127.1
1967,59.1
1968,122
1969,126
1970,78
1971,76
1972,83.2
1973,72
1974,66
1975,103.2
1976,74.4
1977,152.5
1978,60.3
1979,72
1980,88.4
1981,70.5
1982,76.2
1983,77.5
1984,107.6
1985,59.6
1986,75.8
1987,82.3
1988,130
1989,99.6
1990,90
1991,67.7
1992,71.4
1993,93.7
1994,68.9
1995,64.8
1996,56.3
1997,102.6
1998,103.5
1999,87.3
2000,66.2
2001,115.2
2002,53.2
2003,73.1
2004,110.2
2005,65.4
2006,51
2007,81.2
2008,71.2
2009,94
2010,62.5
2011,95.1
2012,105
2013,75
2014,70.5
2015,85.5
2016,90.1
2017,80.7
2018,42.7
