UF,SP
Cidade,SANTOS
Nome Posto,CAETE
Latitude,-23.883333333333333
Longitude,-46.21666666666667
Codigo,2346081
Qtd. Anos,77
Ano,Maxima
1937,182.9
1938,208.5
1939,122.1
1940,252.5
1941,224.3
1942,220.7
1943,123.5
1944,282.7
1945,141.8
1946,200.3
1947,215.4
1948,189.5
1949,121.5
1950,140.7
1951,255.4
1952,200.8
1953,141.8
1954,130.6
1955,110.5
1956,221.7
1957,192.5
1958,144.5
1959,236.5
1960,236.2
1961,176.5
1962,142.5
1963,182.5
1964,95.1
1965,187
1966,95
1967,150.5
1969,70.3
1970,146
1971,227.1
1972,167.5
1973,153.5
1974,162.4
1975,170.9
1976,133.5
1977,112.5
1978,187.5
1979,177.3
1980,162.3
1981,124.3
1982,155.3
1983,215.1
1984,130.2
1985,137.2
1986,254.1
1987,144.1
1988,256.6
1989,157.5
1990,140.1
1991,160.1
1992,248.5
1993,248.5
1994,252.4
1995,158.2
1996,143.3
1997,100.3
1998,141.7
1999,179.8
2000,225.7
2001,70.3
2002,144.2
2003,155.3
2004,192.3
2005,169.2
2006,202.5
2007,130
2008,102.5
2009,86.3
2010,171.8
2011,360
2012,140
2013,221.1
2014,122.4
