UF,SP
Cidade,DUARTINA
Nome Posto,DUARTINA
Latitude,-22.416666666666668
Longitude,-49.416666666666664
Codigo,2249020
Qtd. Anos,63
Ano,Maxima
1938,38.9
1939,67.5
1940,56.5
1941,93.6
1942,81.4
1943,68
1944,81.8
1945,63.6
1946,82.7
1947,94
1948,70.5
1949,67
1950,55.6
1951,81.2
1952,87.6
1953,65.8
1954,77.2
1955,84.6
1956,52.3
1957,84.2
1958,73.8
1959,72.2
1960,104.6
1961,129.2
1962,87.2
1963,52
1964,95
1965,76
1966,87.5
1967,45
1968,75
1969,37
1970,84
1971,77.2
1972,141.6
1973,95
1974,95.2
1975,75.8
1976,81.4
1977,169.3
1978,105
1979,81
1980,88
1981,50.1
1982,139.6
1983,74.2
1984,75.7
1985,55.5
1986,56.6
1987,92
1988,55.4
1989,102
1990,81.5
1991,56.7
1992,104.8
1993,54.6
1994,90
1995,92.7
1996,67.5
1997,102.5
1998,59.2
1999,80.4
2000,30
