UF,SP
Cidade,COLOMBIA
Nome Posto,FAZENDA CONTINENTAL
Latitude,-20.25
Longitude,-48.65
Codigo,2048077
Qtd. Anos,43
Ano,Maxima
1972,71.7
1973,96.5
1974,83.8
1975,89.6
1976,89.1
1977,64.8
1978,114
1979,85.9
1980,71.1
1981,182
1982,122.6
1983,133.4
1984,104.5
1985,81.8
1986,85.7
1987,44.3
1988,54
1989,136.4
1990,69.5
1991,105
1992,74.4
1993,83.1
1994,84.8
1995,84.9
1996,32.9
1997,23
1998,76.7
1999,62.9
2000,96.7
2001,63.9
2002,99.5
2003,81
2004,91.7
2005,88.5
2006,86.1
2007,83.9
2008,102.7
2009,70.4
2010,62
2011,77
2012,83
2013,79.3
2014,64.5
