UF,SP
Cidade,QUATA
Nome Posto,QUATA
Latitude,-22.233333333333334
Longitude,-50.7
Codigo,2250062
Qtd. Anos,80
Ano,Maxima
1936,79.8
1937,60.6
1938,58.5
1939,80.4
1940,73.6
1941,60
1942,73.4
1943,60.7
1944,50.2
1945,95
1946,69.5
1947,98.5
1948,50.3
1949,40.3
1950,26.5
1952,40.3
1953,47
1954,83
1955,70
1956,80.4
1957,60.3
1958,52
1960,80.5
1961,100.3
1962,71
1963,130
1964,45
1966,180.6
1967,70
1968,64
1969,48
1970,137
1971,56.5
1972,141.2
1973,107.1
1974,156.5
1975,72.8
1976,94.7
1977,109.5
1978,77.8
1979,56.8
1980,91.4
1981,90.3
1982,78.6
1983,105.2
1984,113.5
1985,75.8
1986,63.2
1987,73.6
1988,111.3
1989,93.4
1990,114.6
1991,97.1
1992,80.9
1993,67.1
1994,84.4
1995,63.4
1996,60.7
1997,106.7
1998,76.7
1999,104.9
2000,92.4
2001,97.2
2002,75.4
2003,82.1
2004,86.3
2005,72.3
2006,81.7
2007,146.3
2008,100.3
2009,78.1
2010,51.4
2011,68.7
2012,78.3
2013,86.3
2014,97.8
2015,109.3
2016,84.7
2017,102.8
2018,101.8
