UF,SP
Cidade,AMERICO DE CAMPOS
Nome Posto,FAZENDA SANTA MARIA
Latitude,-20.3
Longitude,-49.766666666666666
Codigo,2049004
Qtd. Anos,56
Ano,Maxima
1959,100.5
1960,73.2
1961,115.8
1962,51.2
1963,54.4
1964,58.8
1965,71
1966,95.5
1967,72.6
1968,60.7
1969,46.8
1970,87.5
1971,60.2
1972,77
1973,112.8
1974,74.2
1975,72.5
1976,80.7
1977,89.1
1978,102
1979,76.9
1980,83.5
1981,131.9
1982,79.1
1983,70.8
1984,87.6
1985,92.1
1986,60.2
1987,103.6
1988,69.4
1989,76.9
1990,58.9
1991,98.6
1992,97.1
1993,89.4
1994,68.4
1995,73.5
1996,84.7
1997,108.9
1998,61.1
1999,66.2
2000,77.9
2001,82.7
2002,67.7
2003,88.9
2004,159.3
2005,85.6
2006,134.4
2007,66.3
2008,84
2009,140.5
2010,112
2011,92.9
2012,72.3
2013,70
2014,81.8
