UF,SP
Cidade,SANTA ADELIA
Nome Posto,SANTA SOFIA
Latitude,-21.266666666666666
Longitude,-48.766666666666666
Codigo,2148015
Qtd. Anos,78
Ano,Maxima
1937,50.7
1938,85
1939,71.5
1940,96.8
1941,74.5
1942,52.5
1943,83.5
1944,80.6
1945,79
1946,99.5
1947,52.4
1948,83.5
1949,81.8
1950,215.6
1951,72.9
1952,83.5
1953,46
1954,61.5
1955,60.9
1956,61
1957,69.5
1958,60
1959,90
1960,84
1961,55
1962,185
1963,100.5
1964,58
1965,75.2
1966,69.2
1967,76
1968,41.1
1969,65.1
1970,68
1971,74
1972,74.9
1973,118.7
1974,69.6
1975,73.5
1976,70.5
1977,51.3
1978,85.2
1979,99.6
1980,64.7
1981,81.9
1982,67.9
1983,128.1
1984,66.5
1985,110.1
1986,71.1
1987,68.2
1988,124
1989,141.7
1990,53.7
1991,86.4
1992,72.4
1993,97.2
1994,84.5
1995,109.2
1996,79.7
1997,119.1
1998,65.9
1999,49.7
2000,72.4
2001,82.6
2002,76.7
2003,76.1
2004,93.4
2005,77.8
2006,68.9
2007,110.8
2008,63.9
2009,76.5
2010,125.9
2011,71
2012,65
2013,110.7
2014,75
