UF,SP
Cidade,SILVEIRAS
Nome Posto,SILVEIRAS
Latitude,-22.666666666666668
Longitude,-44.85
Codigo,2244007
Qtd. Anos,43
Ano,Maxima
1969,50
1970,57.5
1971,104.3
1972,65
1973,96.9
1974,79.1
1975,79.6
1976,65.9
1977,79.3
1978,123.7
1979,80.2
1980,62.9
1981,104.6
1982,63.5
1983,98.8
1984,54.1
1985,73.2
1986,83.5
1987,101.8
1988,93.6
1989,83.4
1990,72.1
1991,127.9
1992,87.3
1993,73.5
1994,78.5
1995,78.3
1996,78.1
1997,123.5
1998,75.1
1999,128.1
2000,104.4
2001,46
2002,47.3
2003,49
2005,79
2006,84.1
2007,58
2008,58
2010,60.1
2011,65.1
2013,36.9
2014,46
