UF,SP
Cidade,CRISTAIS PAULISTA
Nome Posto,CRISTAIS PAULISTA
Latitude,-20.4
Longitude,-47.4
Codigo,2047060
Qtd. Anos,50
Ano,Maxima
1939,58.5
1940,72
1941,70
1942,60
1943,57.2
1944,84.4
1945,64.7
1946,121.7
1947,74.7
1948,47.1
1949,55.8
1950,69.7
1951,52.4
1952,65.4
1953,71.2
1954,66.5
1955,68.2
1956,101
1957,62.4
1984,95.7
1985,99.8
1986,59.1
1987,92.5
1988,79.5
1989,85.7
1990,74.6
1991,118.7
1992,92.3
1993,64.6
1994,107.1
1995,97.8
1996,67.4
1997,104.9
1998,93.5
1999,136.7
2000,116.3
2001,65.1
2002,64.3
2003,64.3
2004,94.5
2005,111.6
2006,97.3
2007,113.1
2008,101.5
2009,61
2010,155.3
2011,58.6
2012,68.4
2013,94
2014,70.7
