UF,SP
Cidade,SERRANA
Nome Posto,SERRANA
Latitude,-21.216666666666665
Longitude,-47.6
Codigo,2147007
Qtd. Anos,68
Ano,Maxima
1947,55.2
1948,78.2
1949,80
1950,49.5
1951,82.1
1952,116
1953,59.8
1954,81.3
1955,113
1956,105.2
1957,110.4
1958,65
1959,87
1960,84
1961,111
1962,60.9
1963,78.2
1964,85.6
1965,59.5
1966,82.5
1967,88.5
1968,51
1969,47
1970,70.3
1971,74
1972,75.4
1973,74.3
1974,80.9
1975,91.2
1976,111.4
1977,56.3
1978,71.5
1979,101.5
1980,86.5
1981,115.5
1982,60.7
1983,109.2
1984,59.3
1985,70.1
1986,98.7
1987,75.9
1988,69.4
1989,53.5
1990,38
1991,40.2
1992,78.9
1993,67.2
1994,65.5
1995,75
1996,77.5
1997,78.8
1998,68.7
1999,60.4
2000,83.3
2001,60.3
2002,75.3
2003,70.7
2004,112
2005,159.7
2006,90.9
2007,88.3
2008,111.5
2009,67
2010,60.3
2011,102
2012,60.2
2013,118.1
2014,50.1
