UF,SP
Cidade,CABREUVA
Nome Posto,FAZENDA PINHAL
Latitude,-23.266666666666666
Longitude,-47.11666666666667
Codigo,2347020
Qtd. Anos,40
Ano,Maxima
1964,64.6
1965,61.9
1966,98.8
1967,50.4
1968,66.4
1969,52
1970,78.3
1971,53.8
1972,75.8
1973,76.2
1974,141.7
1975,93.5
1976,78.4
1977,85.8
1978,91.4
1979,124.9
1980,57.5
1981,67.7
1982,85.4
1983,95.7
1984,41.9
1985,73
1986,67.2
1987,88.1
1988,81.5
1989,65.1
1990,128.1
1991,89.5
1992,66.2
1993,74
1994,91.5
1995,73.9
1996,100.4
1997,59.5
1998,70.5
1999,52
2000,65
2001,73.2
2002,128.3
2003,57.6
