UF,SP
Cidade,SAO PAULO
Nome Posto,SAO PAULO (MIRANTE SANTANA)
Latitude,-23.5
Longitude,-46.61666666666667
Codigo,2346117
Qtd. Anos,59
Ano,Maxima
1961,89.4
1962,71.4
1963,73.2
1964,61.8
1965,54.8
1966,87.7
1967,62.1
1968,71.6
1969,72.3
1970,743
1971,792
1972,908
1973,641
1974,774
1975,67.6
1976,99.4
1977,103.5
1978,78.9
1979,82.8
1980,50
1981,75.3
1982,77.8
1983,121.8
1984,64.7
1985,71
1986,68.3
1987,91.2
1988,151.8
1989,75.8
1990,76.9
1991,106.4
1992,91.1
1993,60.4
1994,106.2
1995,90.6
1996,86.2
1997,70
1998,84
1999,68.2
2000,62.8
2001,70.2
2002,91.1
2003,60
2004,82.8
2005,140.4
2006,95.4
2007,103.3
2008,72.4
2009,99.7
2010,90.4
2011,109.5
2012,114.3
2013,75.6
2014,87.1
2015,94.8
2016,102
2017,115
2018,76.6
2019,57
