UF,SP
Cidade,GUAIRA
Nome Posto,PONTE JOAQUIM JUSTINO
Latitude,-20.453611111111112
Longitude,-48.450833333333335
Codigo,2048011
Qtd. Anos,51
Ano,Maxima
1966,31
1967,64.4
1968,62
1969,97
1970,79.2
1971,98
1972,74.2
1973,91
1974,129.6
1975,122.8
1976,75.6
1977,53.6
1978,74
1979,72.8
1980,79.8
1981,118.8
1982,78.2
1983,148.2
1984,78.2
1985,63.6
1986,55.8
1987,116.2
1988,59.8
1989,65.4
1990,87.2
1991,112.5
1992,73
1993,73.4
1994,90
1995,86
1996,75.4
1997,70.1
1998,85
1999,50.2
2000,65.8
2001,57.4
2002,65
2003,100.2
2004,57.2
2005,85
2006,63.3
2007,106.3
2008,48.1
2009,66.1
2010,104
2011,54.5
2012,47.7
2013,136.5
2014,88.5
2015,68
2016,89
