UF,SP
Cidade,PRESIDENTE ALVES
Nome Posto,PRESIDENTE ALVES
Latitude,-22.1
Longitude,-49.43333333333333
Codigo,2249069
Qtd. Anos,57
Ano,Maxima
1944,66.4
1945,130.6
1946,70
1947,103
1948,80.5
1949,62.5
1950,89
1951,48
1952,96.4
1953,105.5
1954,110.4
1955,105
1956,58
1957,73.1
1958,75.4
1959,84.4
1960,80.2
1961,97
1962,90.5
1963,140
1964,68
1965,72
1966,55
1967,94.4
1968,124.5
1969,93
1970,72
1971,57
1972,92
1973,80.5
1974,117.7
1975,71
1976,80.9
1977,198.1
1978,73
1979,53.3
1980,90.5
1981,53.9
1982,78.5
1983,84.7
1984,76.9
1985,83.3
1986,89.1
1987,80
1988,47.3
1989,88
1990,66.8
1991,82.7
1992,75.5
1993,66.9
1994,103
1995,88
1996,106
1997,83
1998,80
1999,110
2000,117
