UF,SP
Cidade,SARAPUI
Nome Posto,SARAPUI
Latitude,-23.65
Longitude,-47.833333333333336
Codigo,2347044
Qtd. Anos,64
Ano,Maxima
1936,14.8
1937,17.8
1938,5.9
1939,59.7
1940,64.5
1941,73
1942,57
1943,87
1944,63.4
1945,68.1
1946,70
1947,48
1948,39
1949,73.5
1950,99.5
1951,41
1952,56
1953,46.2
1954,40.4
1955,249
1956,84
1957,90.2
1958,80.5
1959,70.1
1960,76
1961,50
1962,80
1963,96
1964,90.3
1965,38
1966,40
1967,67
1968,68
1969,76.2
1970,52.6
1971,43.2
1972,60
1973,59.4
1974,63.2
1975,59.5
1976,82.5
1977,102.4
1978,85.6
1979,65.3
1980,88.7
1981,56.2
1982,85
1983,88.3
1984,71.8
1985,65.1
1986,76.3
1987,98.1
1988,70.5
1989,121.4
1990,53.5
1991,95.3
1992,61
1993,36.6
1994,63.2
1995,47.2
1996,78.1
1997,54.6
1998,83.1
1999,64.3
