UF,SP
Cidade,RANCHARIA
Nome Posto,USINA QUATIARA
Latitude,-21.95
Longitude,-50.93333333333333
Codigo,2150040
Qtd. Anos,77
Ano,Maxima
1936,53.8
1937,102.5
1938,76.1
1939,83.6
1940,62
1941,60.5
1942,42
1944,54.1
1945,96.7
1946,73.5
1947,70.1
1948,73.2
1950,77.3
1951,104.6
1952,85.3
1953,69.4
1954,60.1
1955,125.8
1956,85
1957,59.9
1958,80.2
1959,67.6
1960,85.4
1961,103.7
1962,72.4
1963,143.9
1964,69
1965,110.9
1966,80.7
1967,112
1968,69.1
1969,91.6
1970,56.2
1971,74.1
1972,120.2
1973,71.6
1974,161.9
1975,108.8
1976,61
1977,58.7
1978,84.2
1979,66.8
1980,91.8
1981,168.2
1982,65
1983,55.8
1984,91.9
1985,52.2
1986,73.7
1987,96.1
1988,79.5
1989,106
1990,61.8
1991,107.2
1992,104.8
1993,76.1
1994,106
1995,51.2
1996,106.2
1997,86.1
1998,87
1999,69.3
2000,999
2001,62.3
2002,60.5
2003,45.5
2004,55.7
2005,63.8
2006,61.9
2007,85.4
2008,60.9
2009,114.5
2010,107.6
2011,59
2012,106.1
2013,94.5
2014,65
