UF,GO
Cidade,RIO VERDE
Nome Posto,FAZENDA PARAISO
Latitude,-17.465833333333332
Longitude,-50.774166666666666
Codigo,1750008
Qtd. Anos,46
Ano,Maxima
1974,26.6
1975,18
1976,61.1
1977,76
1978,88.2
1979,135
1980,34.8
1981,53.9
1982,50.9
1983,79
1984,78
1985,102
1986,150
1987,72
1988,75
1989,72
1990,50
1991,75
1992,60
1994,53.5
1995,80
1996,76
1997,62.4
1998,88.1
1999,55
2000,110
2001,91.8
2002,88.3
2003,133.2
2004,101
2005,100.7
2006,118
2007,34.3
2008,70
2009,122.8
2010,68.3
2011,80.2
2012,65.6
2013,105.5
2014,66.7
2015,97.4
2016,89.3
2017,73.9
2018,48.3
2019,120
2020,127.8
