UF,GO
Cidade,MAURILANDIA
Nome Posto,MAURILANDIA
Latitude,-17.97972222222222
Longitude,-50.33722222222222
Codigo,1850003
Qtd. Anos,48
Ano,Maxima
1973,102.5
1974,170
1975,62
1976,87
1977,134
1978,123
1979,88.1
1980,75
1981,62
1982,82
1983,77.2
1984,81.3
1985,72.2
1986,68.2
1987,87.3
1988,83.2
1989,100
1990,87.2
1991,66.2
1992,71.3
1993,59.2
1994,117.2
1995,80.4
1996,100.3
1997,81.3
1998,90.4
1999,52.2
2000,75.2
2001,61.3
2002,87.3
2003,65.4
2004,95.1
2005,33.1
2006,228.3
2007,73
2008,105.3
2009,90.3
2010,87.1
2011,88.5
2012,70
2013,96.1
2014,73.6
2015,60
2016,108.5
2017,69.5
2018,77.4
2019,118.7
2020,86.5
