UF,GO
Cidade,ITAJA
Nome Posto,ITAJA
Latitude,-19.136388888888888
Longitude,-51.53444444444444
Codigo,1951001
Qtd. Anos,49
Ano,Maxima
1972,70
1973,75
1974,84
1975,49
1976,97
1977,85
1978,80
1979,81
1980,110
1981,61
1982,87
1983,81.6
1984,89
1985,73
1986,150
1987,57
1988,95
1989,80.2
1990,90.6
1991,70.5
1992,83.7
1993,70.2
1994,70
1995,63.4
1996,85
1997,79.2
1998,57.1
1999,69.3
2000,101
2001,84.8
2002,77
2003,77
2004,113
2005,70
2006,88.6
2007,94
2008,100
2009,63.5
2010,100
2011,84.2
2012,81
2013,73.7
2014,68
2015,110
2016,64
2017,84.6
2018,71
2019,73
2020,45.5
