UF,GO
Cidade,TROMBAS
Nome Posto,TROMBAS
Latitude,-13.512777777777778
Longitude,-48.745
Codigo,1348003
Qtd. Anos,48
Ano,Maxima
1973,57.4
1974,105.6
1975,77
1976,81
1977,75.2
1978,94.6
1979,78.2
1980,94.4
1981,125
1982,102
1983,89.2
1984,61
1985,105
1986,80.2
1987,85
1988,82.5
1989,100.2
1990,86.8
1991,114
1992,114.3
1993,72.4
1994,62.3
1995,119.8
1996,56.7
1997,82.9
1998,12.1
1999,83.7
2000,106.2
2001,86.3
2002,90.2
2003,82.2
2004,98.2
2005,98.3
2006,57.5
2007,61.2
2008,118.6
2009,144.2
2010,90.6
2011,81.2
2012,54.6
2013,90.2
2014,75
2015,58.2
2016,81.5
2017,107.9
2018,117.8
2019,94.7
2020,74.1
