UF,GO
Cidade,EDEIA
Nome Posto,EDEIA (ALEGRETE)
Latitude,-17.341388888888886
Longitude,-49.930277777777775
Codigo,1749000
Qtd. Anos,47
Ano,Maxima
1973,71
1974,77.5
1975,66.2
1976,70
1977,65
1978,69
1979,90.2
1980,118
1981,118
1982,150.2
1983,90.6
1984,90
1985,59
1986,47.2
1987,63.2
1988,74
1989,70
1990,85
1991,85
1992,57
1993,94.4
1994,73.8
1995,58.9
1996,77.4
1997,96.8
1998,64.6
1999,88.5
2000,58.7
2001,99.9
2002,68.9
2003,102.1
2004,101.3
2005,108.5
2006,110
2007,78.3
2008,78
2009,76.6
2010,157
2011,66
2012,68.7
2013,65.2
2014,69.5
2015,92.8
2016,70.5
2017,75.5
2018,100
2019,61
