UF,GO
Cidade,IPORA
Nome Posto,IPORA
Latitude,-16.428055555555556
Longitude,-51.08277777777778
Codigo,1651001
Qtd. Anos,48
Ano,Maxima
1973,90.6
1974,96
1975,60.8
1976,75
1977,103
1978,75
1979,96.6
1980,102.4
1981,126
1982,83
1983,84
1984,47
1985,64.8
1986,63.3
1987,82
1988,118
1989,94
1990,93
1991,100.2
1992,110.9
1993,69.5
1994,100.5
1995,96.8
1996,144.4
1997,141.5
1998,11.5
1999,94.7
2000,110.8
2001,88.3
2002,120.4
2003,113.5
2004,139
2005,78
2006,77.9
2007,97
2008,147.4
2009,108.4
2010,85.9
2011,110.3
2012,72.1
2013,72.3
2014,80.4
2015,137.9
2016,72.4
2017,99.1
2018,66.5
2019,112.3
2020,75.9
