UF,GO
Cidade,SAO DOMINGOS
Nome Posto,FAZENDA INGAZEIRO
Latitude,-13.685833333333333
Longitude,-46.565555555555555
Codigo,1346002
Qtd. Anos,51
Ano,Maxima
1969,78.4
1970,100.8
1971,87.6
1972,77
1973,95
1974,98.4
1975,62.2
1976,96
1977,72
1978,82.3
1979,131
1980,63.9
1981,103.4
1982,95
1983,85.1
1984,42
1985,66.8
1986,100.4
1987,67
1988,92
1989,99.6
1990,39.2
1991,52.3
1992,87.2
1993,85.4
1994,97.8
1995,98.9
1996,58.3
1997,71.3
1998,60.7
1999,81.6
2000,47.2
2001,52.2
2002,69.5
2003,63.2
2004,45.7
2005,101.5
2006,93.6
2007,83.6
2008,49.2
2009,62.2
2010,109.2
2011,76
2012,130
2013,68.1
2014,104.4
2015,69.4
2016,66.8
2017,76.5
2018,58.7
2019,82.1
