UF,GO
Cidade,CATALAO
Nome Posto,CATALAO
Latitude,-18.17027777777778
Longitude,-47.9575
Codigo,1847004
Qtd. Anos,50
Ano,Maxima
1949,79.4
1950,83.2
1951,79.3
1952,84.2
1953,72.8
1954,65.2
1955,77.3
1956,107.6
1957,71
1958,83.9
1959,76.6
1960,66.4
1961,65.2
1962,74
1963,116.9
1964,111.7
1965,70.1
1966,106.9
1967,86.3
1968,88.3
1969,64
1970,132.4
1971,71.7
1972,82.3
1973,57
1974,82.6
1975,87.8
1976,77
1977,82.6
1978,83.4
1979,98.7
1980,95.6
1981,98.1
1982,78.6
1983,92.4
1984,54.8
1985,100.2
1986,104.5
1987,95
1988,71.6
1989,57
1990,91.6
1991,86.3
1992,58.3
1993,44.8
1994,85
1995,95.1
1996,53.1
1997,71.5
1998,63
