UF,GO
Cidade,TRINDADE
Nome Posto,TRINDADE
Latitude,-16.66111111111111
Longitude,-49.48777777777778
Codigo,1649012
Qtd. Anos,47
Ano,Maxima
1973,48
1974,92
1975,58.2
1976,61.6
1977,71
1978,76
1979,97.6
1980,79.4
1981,103.2
1982,75.8
1983,101.5
1984,109
1985,77
1986,100
1987,57.4
1988,67.5
1989,59
1990,89
1991,74.2
1992,72.4
1993,76
1994,115.2
1995,87
1996,100
1997,85.6
1998,60.7
1999,114
2000,117.6
2001,73
2002,92.3
2003,68
2004,68
2005,81.5
2006,88
2007,37
2008,120
2009,60
2010,94
2011,72
2012,81
2013,60.5
2014,43.5
2015,78.3
2016,32
2017,155
2018,60.4
2019,57.7
