UF,GO
Cidade,JATAI
Nome Posto,PONTE RIO DOCE
Latitude,-17.85638888888889
Longitude,-51.39666666666667
Codigo,1751001
Qtd. Anos,50
Ano,Maxima
1971,6.4
1972,100
1973,68
1974,59.3
1975,100.2
1976,79.4
1977,94.2
1978,65.8
1979,85.2
1980,103.4
1981,78.4
1982,73.2
1983,56.2
1984,79.1
1985,68.2
1986,100.2
1987,97.1
1988,57.4
1989,69.3
1990,97.2
1991,69.3
1992,91.7
1993,73
1994,60.5
1995,75.4
1996,222
1997,87.3
1998,85.7
1999,49.1
2000,104.1
2001,92.3
2002,97.3
2003,67.6
2004,59
2005,66.2
2006,74.6
2007,43.7
2008,56.7
2009,514
2010,74
2011,100.2
2012,100
2013,76
2014,81.2
2015,75.2
2016,73
2017,56.7
2018,99.2
2019,54.6
2020,76.7
