UF,GO
Cidade,TURVANIA
Nome Posto,TURVANIA
Latitude,-16.609444444444446
Longitude,-50.132777777777775
Codigo,1650003
Qtd. Anos,47
Ano,Maxima
1973,47
1974,66.6
1975,56
1976,61.4
1977,51
1978,119.2
1979,74.8
1980,78.3
1981,93.2
1982,105
1983,128
1984,61.6
1985,60
1986,98.2
1987,73
1988,51.1
1989,58.3
1990,80
1991,63.2
1992,139.1
1993,80
1994,150.1
1995,80
1996,95
1997,90.4
1998,89.2
1999,85.3
2000,70.1
2001,75.2
2002,97.1
2003,71.4
2004,61.2
2005,106.2
2006,100.6
2007,71.2
2008,123.2
2009,147.3
2010,114.1
2011,83
2012,47.8
2013,81.3
2014,121.6
2015,153
2016,78.5
2017,73.5
2018,77.7
2019,150.8
