UF,GO
Cidade,NOVA AMERICA
Nome Posto,NOVA AMERICA
Latitude,-15.020555555555557
Longitude,-49.891666666666666
Codigo,1549004
Qtd. Anos,47
Ano,Maxima
1973,70.1
1974,40.6
1975,63.4
1976,52.4
1977,61.4
1978,54.4
1979,87.6
1980,97.6
1981,100
1982,80.2
1983,70.3
1984,68
1985,125
1986,90
1987,77
1988,75
1989,100
1990,75
1991,79
1992,90
1993,47
1994,96
1995,96.5
1996,60
1997,90
1998,93.3
1999,102.8
2000,91.9
2001,100.3
2002,61.7
2003,58.6
2004,196.3
2005,77
2006,61
2007,82.7
2008,96.1
2009,83
2010,131.4
2011,119.2
2012,125.4
2013,102.1
2014,61.3
2015,71.9
2016,111.1
2017,112.4
2018,73.3
2019,51.2
