UF,GO
Cidade,MORRINHOS
Nome Posto,MORRINHOS
Latitude,-17.732777777777777
Longitude,-49.11527777777778
Codigo,1749003
Qtd. Anos,47
Ano,Maxima
1973,60.1
1974,73.6
1975,102.2
1976,67
1977,107
1978,82.9
1979,153
1980,75.6
1981,78.2
1982,112.6
1983,135.6
1984,71
1985,77
1986,107.8
1987,89.3
1988,87.6
1989,108.8
1990,72.5
1991,46.5
1992,87
1993,56.1
1994,84
1995,54.4
1996,9.4
1997,73.1
1998,89.1
1999,96
2000,88.5
2001,57
2002,97
2003,92.6
2004,86.9
2005,88.2
2006,65.5
2007,82.9
2008,90.3
2009,80
2010,100
2011,146.3
2012,106.3
2013,109.2
2014,146.4
2015,92.8
2016,69.3
2017,97.3
2018,49.8
2019,66.8
