UF,GO
Cidade,PIRACANJUBA
Nome Posto,PIRACANJUBA
Latitude,-17.289444444444445
Longitude,-49.02722222222222
Codigo,1749005
Qtd. Anos,47
Ano,Maxima
1973,58.6
1974,74
1975,88.4
1976,84.6
1977,75
1978,96.8
1979,82.6
1980,76
1981,70.4
1982,103.2
1983,97.4
1984,75.4
1985,107
1986,104.6
1987,139.4
1988,116.4
1989,85.8
1990,87.4
1991,82.4
1992,91.2
1993,92.2
1994,98.9
1995,77.3
1996,67.9
1997,75.4
1998,74.3
1999,77.8
2000,85.9
2001,122.3
2002,66.7
2003,74.1
2004,105.4
2005,88.1
2006,77.4
2007,82.5
2008,81.1
2009,56.2
2010,180.7
2011,107.5
2012,53.2
2013,35
2014,57.5
2015,89.3
2016,81.5
2017,88
2018,84
2019,64.3
