UF,GO
Cidade,JARAGUA
Nome Posto,JARAGUA
Latitude,-15.758055555555556
Longitude,-49.33694444444445
Codigo,1549003
Qtd. Anos,56
Ano,Maxima
1964,40.2
1965,55
1966,74.2
1967,67
1968,165.2
1969,96.8
1970,75
1971,157
1972,108.6
1973,84.6
1974,49.8
1975,52.4
1976,60.4
1977,86.4
1978,90.8
1979,128.2
1980,83.9
1981,101.2
1982,82.2
1983,100.4
1984,120
1985,90.6
1986,64.8
1987,86.6
1988,78.4
1989,114.6
1990,50
1991,68.6
1992,152.6
1993,64.6
1994,66.8
1995,88.6
1996,126.4
1997,85.8
1998,70.2
1999,64.4
2000,82.4
2001,44.6
2002,82.8
2003,98.5
2004,75.2
2005,72.6
2006,71.3
2007,48.7
2008,61.8
2009,68.2
2010,85.3
2011,123.3
2012,62
2013,70.6
2014,82.7
2015,68.7
2016,83.5
2017,76.1
2018,132.1
2019,53.2
