UF,GO
Cidade,VARJAO
Nome Posto,FAZENDA BOA VISTA
Latitude,-17.105555555555558
Longitude,-49.69083333333333
Codigo,1749001
Qtd. Anos,49
Ano,Maxima
1971,55.6
1972,107.6
1973,98
1974,76.4
1975,71.4
1976,75.6
1977,62
1978,87.2
1979,157.4
1980,91.3
1981,216.4
1982,86.6
1983,73.4
1984,64
1985,93.6
1986,64
1987,66.2
1988,89
1989,80.9
1990,46
1991,48.6
1992,66.7
1993,60.6
1994,75.5
1995,86
1996,140
1997,80.2
1998,100
1999,91
2000,77
2001,71.8
2002,49.6
2003,95.8
2004,78.4
2005,103.8
2006,190.2
2007,98.9
2008,125.6
2009,108.4
2010,202.1
2011,61.4
2012,83.2
2013,81.8
2014,121.4
2015,72.9
2016,78.2
2017,71.7
2018,88.6
2019,64.8
