UF,GO
Cidade,PARAUNA
Nome Posto,PONTE RODAGEM
Latitude,-17.325277777777778
Longitude,-50.68194444444444
Codigo,1750004
Qtd. Anos,50
Ano,Maxima
1971,91.2
1972,82
1973,75.6
1974,56
1975,46.8
1976,84.5
1977,72.2
1978,76
1979,75
1980,40
1981,81.3
1982,112
1983,108
1984,76.2
1985,80.3
1986,208.3
1987,89
1988,80
1989,114.2
1990,45.3
1991,97.2
1992,85
1993,90
1994,103.3
1995,105
1996,103
1997,70
1998,40
1999,60
2000,78.3
2001,80.6
2002,69.5
2003,84.8
2004,118.3
2005,114.4
2006,60
2007,60.9
2008,56.3
2009,109.1
2010,97.3
2011,72.1
2012,81
2013,129
2014,61
2015,74.3
2016,60
2017,85.6
2018,70
2019,152
2020,64.3
