UF,GO
Cidade,ISRAELANDIA
Nome Posto,ISRAELANDIA
Latitude,-16.31638888888889
Longitude,-50.90611111111111
Codigo,1650002
Qtd. Anos,48
Ano,Maxima
1973,61
1974,61.3
1975,71.4
1976,68
1977,109.4
1978,64.8
1979,70
1980,100
1981,113
1982,103.1
1983,84
1984,66
1985,104.1
1986,78
1987,95
1988,70
1989,146
1990,52.1
1991,123
1992,153.2
1993,66.2
1994,78
1995,122.3
1996,109.9
1997,78.2
1998,101
1999,148.8
2000,72.8
2001,124
2002,81.8
2003,54
2004,114.7
2005,75.2
2006,87.5
2007,81.3
2008,102
2009,100
2010,143.3
2011,115.3
2012,87.7
2013,103
2014,53.5
2015,95.3
2016,55.3
2017,90
2018,70
2019,112
2020,75.9
