UF,GO
Cidade,ESTRELA DO NORTE
Nome Posto,ESTRELA DO NORTE
Latitude,-13.8725
Longitude,-49.07138888888889
Codigo,1349000
Qtd. Anos,50
Ano,Maxima
1971,37.4
1972,69
1973,95.4
1974,82.2
1975,146.1
1976,130
1977,117.3
1978,93
1979,86.3
1980,120.5
1981,90.2
1982,100.2
1983,78.3
1984,54.3
1985,99.8
1986,74.6
1987,75.2
1988,72.4
1989,106.5
1990,113.6
1991,76.3
1992,74
1993,67.2
1994,144.2
1995,99.6
1996,78.5
1997,162.2
1998,105.4
1999,150.4
2000,95.7
2001,72.9
2002,83.8
2003,98
2004,69.2
2005,76.9
2006,56.5
2007,72.5
2008,87.5
2009,95.5
2010,94.7
2011,105.8
2012,84.5
2013,97.6
2014,85.3
2015,100.4
2016,73
2017,81
2018,91.3
2019,70.4
2020,63.5
