UF,GO
Cidade,MONTES CLAROS DE GOIAS
Nome Posto,MONTES CLAROS DE GOIAS
Latitude,-15.940833333333334
Longitude,-51.35722222222223
Codigo,1551001
Qtd. Anos,49
Ano,Maxima
1971,43.3
1972,201.2
1973,117
1974,79.2
1975,86
1976,87
1977,73
1978,68.2
1979,51
1980,93
1981,83
1982,92
1983,145
1984,126
1985,72
1986,67.6
1987,86
1988,160
1989,95.4
1990,113.3
1991,86.3
1992,73
1993,53
1994,125
1995,175
1996,134
1997,56
1998,54
1999,75.9
2000,127.7
2001,86.3
2002,124.1
2003,131.9
2004,131
2005,101.7
2006,77
2007,68.9
2008,86.8
2009,73.7
2010,98.6
2011,97.2
2012,115.3
2013,83.7
2014,93.9
2015,75.1
2016,100.7
2017,71.1
2018,106.5
2019,87.7
