UF,GO
Cidade,MARZAGAO
Nome Posto,MARZAGAO
Latitude,-17.983055555555556
Longitude,-48.68333333333333
Codigo,1748004
Qtd. Anos,47
Ano,Maxima
1973,74.5
1974,62
1975,52.1
1976,93.1
1977,58
1978,56.4
1979,80.8
1980,78
1981,46
1982,90
1983,79.4
1984,58.4
1985,70.2
1986,104.8
1987,66
1988,75
1989,63.1
1990,75.7
1991,61.1
1992,55.3
1993,58.2
1994,78.1
1995,55.3
1996,61.9
1997,59.2
1998,77.7
1999,63.9
2000,156.6
2001,60.8
2002,98.1
2003,90
2004,85.7
2005,123.7
2006,101.1
2007,79.5
2008,81.9
2009,87.5
2010,89.5
2011,162
2012,65.4
2013,70.5
2014,106.3
2015,104.1
2016,70
2017,83.2
2018,134.6
2019,52.8
