UF,GO
Cidade,ARENOPOLIS
Nome Posto,SAO FERREIRA
Latitude,-16.305833333333332
Longitude,-51.470555555555556
Codigo,1651003
Qtd. Anos,48
Ano,Maxima
1973,50
1974,100
1975,75
1976,90
1977,50
1978,57
1979,107
1980,100
1981,100
1982,151.2
1983,148
1984,95.3
1985,94.2
1986,128
1987,87
1988,105
1989,98.2
1990,51
1991,65
1992,57
1993,55
1994,58.2
1995,55.2
1996,89.2
1997,86.2
1998,71.3
1999,81.5
2000,63
2001,82.5
2002,76.5
2003,81.4
2004,68
2005,83.6
2006,54.7
2007,56
2008,82.5
2009,118.6
2010,123.4
2011,68.4
2012,63
2013,172
2014,59.3
2015,113.4
2016,49
2017,58
2018,67
2019,93
2020,81.3
