UF,GO
Cidade,CROMINIA
Nome Posto,CROMINIA
Latitude,-17.284722222222225
Longitude,-49.382777777777775
Codigo,1749009
Qtd. Anos,42
Ano,Maxima
1978,79.5
1979,137.6
1980,88.2
1981,64.2
1982,76.2
1983,84.4
1984,72.8
1985,105.8
1986,73.8
1987,79.1
1988,90.2
1989,89.7
1990,42.6
1991,40.8
1992,35
1993,64.4
1994,109.8
1995,87.6
1996,71.1
1997,112.3
1998,78.9
1999,91
2000,96.8
2001,146.3
2002,51.7
2003,48.1
2004,56.2
2005,80.7
2006,127.2
2007,80.1
2008,98.1
2009,89.9
2010,89.2
2011,63.5
2012,94.8
2013,73.6
2014,105.2
2015,60.4
2016,57.8
2017,93.5
2018,118.1
2019,103.7
